记录数,dip,dipemailname,diplevel,diptype,downlink_length,dport,dtime,proto,sip,sipemailname,siplevel,siptype,sport,state,stime,uplink_length,user
1,10.50.50.44,0,0,0,121,22,2017/11/4 14:56:52,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 14:56:42,3525,1211
1,10.50.50.44,0,0,0,133,22,2017/11/4 15:51:15,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 15:51:05,4612,1211
1,10.50.50.44,0,0,0,190,22,2017/11/4 15:55:20,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 15:55:10,4103,1211
1,10.50.50.44,0,0,0,157,22,2017/11/4 16:12:44,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 16:12:34,3459,1211
1,10.50.50.44,0,0,0,133,22,2017/11/4 16:36:43,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 16:36:33,2490,1211
1,10.50.50.44,0,0,0,160,22,2017/11/4 17:32:10,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 17:32:00,935,1211
1,10.50.50.44,0,0,0,117,22,2017/11/4 17:32:53,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 17:32:43,2196,1211
1,10.50.50.44,0,0,0,101,22,2017/11/4 18:25:08,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 18:24:58,4311,1211
1,10.50.50.44,0,0,0,120,22,2017/11/4 18:30:11,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 18:30:01,586,1211
1,10.50.50.44,0,0,0,169,22,2017/11/4 19:31:02,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 19:30:52,2033,1211
1,10.50.50.44,0,0,0,183,22,2017/11/4 19:46:15,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 19:46:05,3638,1211
1,10.50.50.44,0,0,0,119,22,2017/11/4 19:57:31,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 19:57:21,3393,1211
1,10.50.50.44,0,0,0,113,22,2017/11/4 20:11:09,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 20:10:59,2489,1211
1,10.50.50.44,0,0,0,196,22,2017/11/4 21:43:53,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 21:43:43,1826,1211
1,10.50.50.44,0,0,0,142,22,2017/11/4 21:46:38,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 21:46:28,230,1211
1,10.50.50.44,0,0,0,106,22,2017/11/6 10:07:54,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 10:07:44,4214,1228
1,10.50.50.44,0,0,0,166,22,2017/11/6 10:17:59,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 10:17:49,545,1228
1,10.50.50.44,0,0,0,133,22,2017/11/6 10:22:08,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 10:21:58,4492,1228
1,10.50.50.44,0,0,0,108,22,2017/11/6 10:27:10,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 10:27:00,4660,1228
1,10.50.50.44,0,0,0,163,22,2017/11/6 10:38:09,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 10:37:59,451,1228
1,10.50.50.44,0,0,0,175,22,2017/11/6 11:35:27,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 11:35:17,881,1228
1,10.50.50.44,0,0,0,137,22,2017/11/6 12:11:30,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 12:11:20,959,1228
1,10.50.50.37,0,0,0,103,8005,2017/11/6 12:20:52,mongodb,10.64.105.4,1487@hightech.com,4,development1,1856,error,2017/11/6 12:20:42,3297,1487
1,10.50.50.44,0,0,0,139,22,2017/11/6 12:30:59,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 12:30:49,4845,1228
1,10.50.50.44,0,0,0,131,22,2017/11/6 12:42:01,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 12:41:51,3550,1228
1,10.50.50.44,0,0,0,153,22,2017/11/6 12:50:25,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 12:50:15,1169,1228
1,10.50.50.44,0,0,0,148,22,2017/11/6 14:09:37,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 14:09:27,3234,1228
1,10.50.50.44,0,0,0,144,22,2017/11/6 14:09:58,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 14:09:48,361,1228
1,10.50.50.44,0,0,0,199,22,2017/11/6 14:33:45,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 14:33:35,4647,1228
1,10.50.50.44,0,0,0,180,22,2017/11/6 16:11:40,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 16:11:30,1071,1228
1,10.50.50.44,0,0,0,155,22,2017/11/6 16:34:41,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 16:34:31,3811,1228
1,10.50.50.44,0,0,0,178,22,2017/11/6 16:42:17,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 16:42:07,2957,1228
1,10.50.50.44,0,0,0,119,22,2017/11/6 17:00:43,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 17:00:33,2866,1228
1,10.50.50.44,0,0,0,103,22,2017/11/6 17:38:13,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 17:38:03,2624,1228
1,10.50.50.44,0,0,0,130,22,2017/11/6 17:50:11,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 17:50:01,1124,1228
1,10.50.50.44,0,0,0,127,22,2017/11/6 18:49:53,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 18:49:43,4714,1228
1,10.50.50.44,0,0,0,145,22,2017/11/6 18:58:42,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 18:58:32,2303,1228
1,10.50.50.44,0,0,0,134,22,2017/11/6 19:17:00,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 19:16:50,1567,1228
1,10.50.50.44,0,0,0,128,22,2017/11/6 19:20:18,ssh,10.64.105.4,1487@hightech.com,4,development1,49197,error,2017/11/6 19:20:08,4104,1228
